"SKU","Short Description","Vendor Number","Vendor Name","Model Number","Primary UPC","UOM","Max Qty","Retail Price","Retail Margin","Member Retail","Mult 1","Cost of Mult 1","Mult 2","Cost of Mult 2","Mult 3","Cost of Mult 3","Salecode","Performance Units","Performance Dollars","Page Number","Promo Retail","Promo Mult 1","Promo Cost of Mult 1","Promo Mult 3","Promo Cost of Mult 3","Status","Substitutes","Alternate UPC","UPS","Sensitivity","Name","Long Description","length","color","Country of Origin","Prod Class_Category Description","Prod Class Category ID","Prod Class_Department Description","Prod Class Department ID","Prod Class_Product Group Description","Prod Class Product Group ID","Prod Class_SubCategoryDescription","Prod Class SubCategory ID","Brand","Primary Central Stock Warehouse","Secondary Central Stock Warehouse"
"399055","2IN1 DR ULTFN BLK MARKER","5297","Milwaukee Elec.Tool","48-22-3152","00045242345526","Each","","7.99","38.924","","90","4.88","15","5.062","1","5.326","","N/A","N/A","","","","","","","Promotional","","10045242345523,20045242345520","true","High Awareness","MILWAUKEE Black Marker","The MILWAUKEE INKZALL 2IN1 Deep Reach Ultra Fine Point Jobsite Marker is designed with an adjustable length tip to provide better access and longer life. The durable marker tip can withstand writing on rough surfaces and writes through dusty, wet, or oily contamination. For added user convenience, the 2IN1 INKZALL marker is built to resharpen and features a hard hat/helmet clip for easy storage and access. INKZALL markers confirm Milwaukees commitment to best-in-class durability and their relentless mission to provide innovative solutions to the end user.","","Black","Germany","Marking Tools","ZKY2","Hand Tools","HDTL","Marker","727C","Writing Utensils","MZNG","Milwaukee","",""
"334150","HEADBAND EARMUFF","6433","Safety Works","SWX00334-01","00848309009238","Each","","29.99","41.244","34.99","4","17.621","","","1","18.609","","D","C","","","","","","","Promotional","","10848309009235","true","Low Awareness","Safety Works Pro Earmuffs","Professional grade earmuffs. Features a premium cushioned headband to alleviate discomfort from a pressure point. Also includes a soft ear seal for comfort. Ideal for use with indoor and outdoor power tools.","","","China","Hearing Protection","87T3","Safety","SAFE","Earmuffs","496Q","Protective & Radio Earmuffs","MM5T","Safety Works","",""
"216596","4CT IND ST BLK H&L STRIP","0485","Wrap-it Storage","404-IS-4BL","00810016855040","Each","","4.99","34.749","","36","3.256","6","3.397","1","3.572","","N/A","N/A","","","","","","","Promotional","","10810016855047,20810016855044","true","Mod Awareness","Wrap-It Storage 4 In. Hook & Loop Strip","When regular strength just won't cut it. Bring on the heavy-duty power strips and tools. Our Industrial Strength Stick 'Em won't wilt under the weight of those harder hanging jobs. Get your garage, shed, home or RV organized like a pro!","4 In.","Black","China","Fasteners","99V6","Hardware","HDWE","Hook & Loop Strip","QXJI","Hook & Loop Fasteners","5N39","Wrap-It Storage","",""
"797695","16OZ WOOD FILLER TUB","5260","Gorilla Glue","119452","00052427016294","Each","","10.99","34.568","","6","7.191","","","1","7.566","","B","B","","","","","","","Promotional","","30052427840876,10052427010640","true","High Awareness","Gorilla Wood Filler","All purpose wood filler is the go-to product for strong, durable repairs on cracks, gouges, and holes. The unique formula is easy to spread allowing for a smooth, natural finish. Its high performance stainability, paintability, and sandability provides you with a professional looking finished project. Shrink and crack resistant. Anchors nails and screws. Sandable, works with high speed sanders. Moldable and water resistant. Ideal for interior and exterior use. For outdoor use, coat with exterior paint. Not recommended for continuous water submersion.","","Natural Wood","United States","Patching & Repair Products","67E7","Paint & Painting Supplies","PNTG","Wood Filler","96ER","Wood Fillers & Putties","955U","Gorilla","",""
"786649","8OZ WOOD FILLER TUB","5260","Gorilla Glue","107084","00052427016287","Each","","8.99","40.857","","4","5.317","","","1","5.593","","B","B","","","","","","","Promotional","","10052427010633","true","High Awareness","Gorilla Wood Filler","All purpose wood filler is the go-to product for strong, durable repairs on cracks, gouges, and holes. The unique formula is easy to spread allowing for a smooth, natural finish. Its high performance stainability, paintability, and sandability provides you with a professional looking finished project. Shrink and crack resistant. Anchors nails and screws. Sandable, works with high speed sanders. Moldable and water resistant. Ideal for interior and exterior use. For outdoor use, coat with exterior paint. Not recommended for continuous water submersion.","","Natural Wood","United States","Patching & Repair Products","67E7","Paint & Painting Supplies","PNTG","Wood Filler","96ER","Wood Fillers & Putties","955U","Gorilla","",""
"785300","6OZ WOOD FILLER TUBE","5260","Gorilla Glue","107072","00052427016270","Each","","9.99","38.719","","6","6.122","","","1","6.444","","B","B","","","","","","","Promotional","","10052427010619","true","High Awareness","Gorilla Wood Filler","All purpose wood filler is the go-to product for strong, durable repairs on cracks, gouges, and holes. The unique formula is easy to spread allowing for a smooth, natural finish. Its high performance stainability, paintability, and sandability provides you with a professional looking finished project. Shrink and crack resistant. Anchors nails and screws. Sandable, works with high speed sanders. Moldable and water resistant. Ideal for interior and exterior use. For outdoor use, coat with exterior paint. Not recommended for continuous water submersion.","","Natural Wood","United States","Patching & Repair Products","67E7","Paint & Painting Supplies","PNTG","Wood Filler","96ER","Wood Fillers & Putties","955U","Gorilla","",""
"477788","QT TOILET BOWL CLEANER","6256","Rooto Corp.","1090","00037904109027","Each","","5.49","42.368","","12","3.164","","","","","","B","C","","","","","","","Promotional","","10037904109024","true","Low Awareness","Rooto Industrial Toilet Bowl Cleaner","Industrial strength liquid toilet bowl cleaner is designed to clean and remove lime, rust, scale, and stains. Refreshing pine scent. Contains 15% hydrochloric acid. 32 oz. plastic container.","","","United States","Cleaning Chemicals","W527","Cleaning Supplies","CLNG","Toilet Bowl Cleaner","3J98","Toilet Cleaners & Deodorizers","46T9","Rooto","",""
"240678","MAX STRG MOUNTING TAPE","5260","Gorilla Glue","112961","00052427018878","Each","","11.49","31.967","11.49","6","7.817","","","1","8.208","","B","C","","","","","","","Promotional","","10052427014532","true","Mod Awareness","Gorilla Max Strength Mounting Tape","Gorilla Max Strength Mounting Tape, our strongest mounting tape, includes a mesh reinforced layer making it 1.5X stronger than our Heavy Duty Mounting Tape. It mounts in an instant for a permanent bond that holds 3 Lb. per 4 In. of tape. Gorilla Max Strength Mounting Tape is perfect for indoor projects and sticks to smooth and rough surfaces. Bonds permanently to painted walls, mirrors, plastic, metal, wood, glass, ceramic and more.","","Black","Netherlands","Tape & Adhesives","67XR","Office Supplies","OFFC","Mounting Tape","AP35","Mounting Adhesives","953I","Gorilla","",""

Performance Units (based on units sold)
