Order #,PO #,Order Method,Order Placed By,Date/Time Placed,Ordering Store,Ship To Name,Ship To Address,Customer PO #,Order Status,Updated,Estimated Ship Date,Delivery From,Ship By,Type,Shipping Account,Same Day Ship,Freight Fee Type,Line Count,SKU,UPC,Model,Short Product Description,Qty Ordered,Qty Allocated,Qty Cancelled,Qty Filled,Suggested Retail,Your Retail,Cost,Ext Cost,Future Reserve,Promo/Bulletin,POG Number,Item Status
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,230433,00029069224066,22406,Hy-Ko 9 x 13 Neon Auto For Sale Sign,10,0,0,0,2.19,2.19,0.794,7.94, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,205495,00029069108205,OCT-200,"Hy-Ko 9 x 9 Plastic Sign, These Premises Protected By Video Surveillance",5,0,0,0,3.69,3.69,0.981,4.905, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204773,00084100004649,RV-50M,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, M",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,246131,00029069020705,MM-7N,"Hy-Ko 2 In. Polyester Adhesive Number Set, 33 Numbers",10,0,0,0,3.99,3.99,1.195,11.95, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,223249,00029069313043,BK-40/4,Hy-Ko 4 In. Satin Black Number 4,5,0,0,0,4.49,4.49,1.711,8.555, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204935,00084100004755,RV-50Y,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, Y",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204579,00084100004458,RV-50-4,Hy-Ko Vinyl 3 In. Reflective Adhesive Number Four,10,0,0,0,1.79,1.79,0.478,4.78, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,254765,00029069009052,TP-3Y,Hy-Ko 1 In. x 6 In. Yellow Reflective Safety Tape Strips (3-Count),5,0,0,0,4.29,4.29,1.7,8.5, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,240362,00084100006148,RS-806,"Hy-Ko Corrugated Plastic Sign, For Rent",5,0,0,0,9.29,9.29,3.333,16.665, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,223116,00029069313029,BK-40/2,Hy-Ko 4 In. Satin Black Number 2,5,0,0,0,4.49,4.49,1.711,8.555, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204625,00084100004502,RV-50-9,Hy-Ko Vinyl 3 In. Reflective Adhesive Number Nine,10,0,0,0,1.79,1.79,0.464,4.64, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,200561,00029069020200,MM2,"Hy-Ko 1 In. Numbers, Letters & Symbols (107 Count)",10,0,0,0,3.79,3.79,1.187,11.87, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,218061,00029069309688,30658-5,Hy-Ko 4 In. Reflective Plastic Number 8 ,5,0,0,0,2.49,2.49,0.963,4.815, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,205655,00029069030056,3005,"Hy-Ko 9x12 Plastic Sign, For Rent",10,0,0,0,1.99,1.99,0.487,4.87, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,225468,00029069230173,23017,"Hy-Ko Plastic Sign, Caution Electric Fence",5,0,0,0,7.49,7.49,2.257,11.285, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,223480,00029069313050,BK-40/5,Hy-Ko 4 In. Satin Black Number 5,5,0,0,0,4.49,4.49,1.711,8.555, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,219485,00029069309695,30659-5,Hy-Ko 4 In. Reflective Plastic Number 9 ,5,0,0,0,2.49,2.49,0.963,4.815, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204943,00084100004762,RV-50Z,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, Z",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,252166,00029069009113,911,Hy-Ko Reflective Address Plate,5,0,0,0,25.99,25.99,10.395,51.975, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204749,00084100004618,RV-50J,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, J",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,206501,00029069030131,3013,"Hy-Ko 9x12 Plastic Sign, No Smoking",10,0,0,0,1.99,1.99,0.487,4.87, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,215325,00029069031404,TSR-100,"Hy-Ko Tyvek Sign, Posted Legal Private Property (100-Roll)",2,0,0,0,57.99,57.99,26.635,53.27, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,216455,00029069309671,30657-5,Hy-Ko 4 In. Reflective Plastic Number 7,5,0,0,0,2.49,2.49,0.963,4.815, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,221817,00029069250010,25001,Hy-Ko Slow Down - We Love Our Children Sign,5,0,0,0,3.49,3.49,1.328,6.64, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,221167,00029069313104,BK-40/0,Hy-Ko 4 In. Satin Black Number 0,5,0,0,0,4.49,4.49,1.711,8.555, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204641,00084100004526,RV-50B,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, B",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,241873,00029069230081,23008,"Hy-Ko Plastic Sign, Keep Gate Closed",5,0,0,0,7.49,7.49,2.434,12.17, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204560,00084100004441,RV-50-3,Hy-Ko Vinyl 3 In. Reflective Adhesive Number Three,10,0,0,0,1.79,1.79,0.478,4.78, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,577197,00029069002039,CDRF-3R,Hy-Ko 3-1/4 In. Dia. Round Red Bracketed Nail-On Reflector (2-Pack),6,0,0,0,4.49,4.49,1.558,9.348, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204862,00084100004694,RV-50S,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, S",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,211123,00029069301033,30103,Hy-Ko 3/4 In. Yellow Price Labels,10,0,0,0,4.49,4.49,2.04,20.4, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,576999,00029069002084,CMR-10,Hy-Ko 1-1/4 In. Dia. Round Self-Adhesive Mini Reflector (6-Pack),6,0,0,0,4.49,4.49,1.486,8.916, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204626,00029069225100,SPN-110,"Hy-Ko 18.5 x 14.5 Neon Sign, Garage Sale",5,0,0,0,4.79,4.79,1.465,7.325, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,215485,00029069309640,30654-5,Hy-Ko 4 In. Reflective Plastic Number 4 ,5,0,0,0,2.49,2.49,0.963,4.815, - ,4972,20-451,145
