Promotion Name: July Digital and Ecommerce,,,"Original Order Start: March 18, 2026",,,
"Start Date: July 1, 2026",,,"Original Order Deadline: March 20, 2026",,,
"End Date: July 31, 2026",,,"Reorder Start: June 24, 2026",,,
Sale Code: HB,,,"Reorder Deadline: August 11, 2026",,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:HB,,,,,,
SKU,Description,Vendor Name,Brand,Regular Retail,Promo Retail,Promo Member Cost
826253,ELECTRIC LIGHTER,Onward Multi Corp  D,GrillPro,$17.99 ,$14.99 ,$10.84 
826253,ELECTRIC LIGHTER,Onward Multi Corp  D,GrillPro,$17.99 ,$14.99 ,$10.84 
888838,PELLET STORAGE BIN,Onward Multi Corp  D,Broil King,$24.99 ,$21.99 ,$15.54 
710854,WASP&HORNET TRAP,Spectrum Brands HG,Spectracide,$17.49 ,$17.49 ,$15.20 
752194,WASP&HORNET TRAP REFILL,Spectrum Brands HG,Spectracide,$10.49 ,$8.99 ,$7.86 
725787,18.5OZ WSP&HORNET KILLER,Spectrum Brands HG,Spectracide,$5.29 ,$4.99 ,$3.73 
704100,14OZ WASP&HORNET KILLER,Spectrum Brands HG,Black Flag,$5.99 ,$4.99 ,$4.34 
700406,14OZ F WASP&HORNET KILLR,Spectrum Brands HG,Black Flag,$6.49 ,$4.99 ,$4.38 
741082,2PK 14OZ WASP&HRNT FOAM,Spectrum Brands HG,Black Flag,$11.99 ,$9.99 ,$8.82 
765775,GAL RTU BUG STOP KILLER,Spectrum Brands HG,Spectracide,$7.49 ,$6.99 ,$5.74 
701642,5M VERI-GREEN LAWN FOOD,JONATHAN GREEN,Jonathan Green,$23.99 ,$20.49 ,$14.39 
722348,3# PTCHR MLCH/FERT SEED,JONATHAN GREEN,Jonathan Green,$25.99 ,$22.49 ,$16.50 
714506,3# BB TALL FESCUE SEED,JONATHAN GREEN,Jonathan Green,$24.99 ,$22.99 ,$13.84 
744348,7# BB TALL FESCUE SEED,JONATHAN GREEN,Jonathan Green,$44.99 ,$42.99 ,$30.04 
716977,3# SOUTH LAWN GRASS SEED,JONATHAN GREEN,Jonathan Green,$24.99 ,$22.99 ,$14.41 
720126,7# SOUTH LAWN GRASS SEED,JONATHAN GREEN,Jonathan Green,$44.99 ,$42.99 ,$31.12 
750756,5K SQFT WEED&FEED KILLER,JONATHAN GREEN,Jonathan Green,$29.99 ,$27.99 ,$19.18 
705773,5M ACIDIC MAG-I-CAL PLUS,JONATHAN GREEN,Jonathan Green,$29.99 ,$27.99 ,$20.32 
705786,5M ALKAL MAG-I-CAL PLUS,JONATHAN GREEN,Jonathan Green,$28.99 ,$28.99 ,$21.13 
704955,4OZ DP WDS OFF DRY AERO,SC JOHNSON,OFF!,$8.49 ,$6.99 ,$6.06 
736859,6OZ DEEP WOODS BUG REPEL,SC JOHNSON,OFF!,$9.99 ,$7.99 ,$6.24 
731667,16OZ YARD&DECK BUG REPEL,SC JOHNSON,OFF!,$11.99 ,$9.99 ,$7.56 
503067,550L RCH FLASHLIGHT,LB Marketing Inc.,Police Security,$34.99 ,$24.79 ,$20.05 
508636,BLK INOUT RCHRG LED LAMP,Amertac Westek,Westek,$69.99 ,$45.79 ,$38.82 
509962,BEL BLK/BRZ RECHARG LAMP,Amertac Westek,Westek,$69.99 ,$45.79 ,$38.82 
525683,400L CLRCHG LED LANTERN,NEBO ACG Brands,Nebo,$34.99 ,$21.79 ,$18.81 
524251,6OUTLET WHT USB-A/C TAP,Prime Wire and Cable,Prime,$29.99 ,$21.79 ,$19.90 
501937,4 OUTLET SURGE W/USB,Prime Wire and Cable,Prime,$25.99 ,$15.49 ,$14.19 
533738,"11"" NKL MLTCCT LEDLIGHT",FEIT ELECTRIC,Feit Electric,$52.99 ,$39.79 ,$25.29 
541726,2PK LED WORK LIGHT,FEIT ELECTRIC,Feit Electric,$28.99 ,$19.79 ,$16.29 
756570,20CT MGORG TAB PLNT FOOD,SCOTTS COMPANY,Miracle-Gro,$10.99 ,$8.99 ,$6.68 
750761,3LB ROSE&BLOOM PLNT FOOD,SCOTTS COMPANY,Scotts,$9.49 ,$7.99 ,$4.62 
731663,12PK EVERGRN FERT SPIKE,SCOTTS COMPANY,Miracle-Gro,$15.49 ,$13.99 ,$9.50 
399055,2IN1 DR ULTFN BLK MARKER,MILWAUKEE TOOL,Milwaukee,$7.99 ,$4.99 ,$4.33 
335894,7PC SCREWDRIVER SET,KLEIN TOOLS INC,Klein Tools,$54.99 ,$49.97 ,$41.96 
322190,SPOT LIGHT STUD SENSOR,Zircon International,Do it Best,$24.99 ,$17.99 ,$16.09 
358754,HAMMER TACKER,STANLEY TOOLS,Stanley,$28.99 ,$21.99 ,$19.80 
300145,RETRACTBLE UTILITY KNIFE,STANLEY TOOLS,DEWALT,$16.99 ,$9.99 ,$8.56 
346861,5PC OPEN END WRENCH SET,Channellock Products,Channellock,$39.99 ,$21.99 ,$15.15 
302946,5PC OPEN END WRENCH SET,Channellock Products,Channellock,$39.99 ,$21.99 ,$15.15 
332992,"6"" SPINNER HANDLE",Channellock Products,Channellock,$16.99 ,$7.99 ,$4.96 
309435,10PC WRENCH SET,Channellock Products,Channellock,$59.99 ,$39.99 ,$32.95 
309443,10PC METRIC WRENCH SET,Channellock Products,Channellock,$59.99 ,$39.99 ,$32.95 
328499,"10PC M 1/4"" SOCKET SET",Channellock Products,Channellock,$32.99 ,$14.99 ,$10.13 
346756,"10PC 1/4"" SOCKET SET",Channellock Products,Channellock,$32.99 ,$14.99 ,$10.13 
399980,8PC METRIC HEX KEY SET,Channellock Products,Channellock,$36.99 ,$21.99 ,$17.51 
384987,8PC SAE HEX KEY SET,Channellock Products,Channellock,$36.99 ,$21.99 ,$17.51 
386940,"1"" SPRING CLAMP",Channellock Products,Channellock,$1.99 ,$1.29 ,$1.11 
386947,"2"" SPRING CLAMP",Channellock Products,Channellock,$3.79 ,$2.49 ,$2.18 
389344,"3"" SPRING CLAMP",Channellock Products,Channellock,$5.49 ,$3.99 ,$3.54 
369881,"3"" LD CLAMP ON VISE",Channellock Products,Channellock,$37.99 ,$24.99 ,$19.71 
370983,"7"" WOODWORKERS VISE",Channellock Products,Channellock,$77.99 ,$59.99 ,$52.74 
365457,15' BAND CLAMP,Channellock Products,Channellock,$28.99 ,$18.99 ,$13.32 
518477,12000L LED WORKLIGHT,Channellock Products,Channellock,$99.99 ,$79.99 ,$51.79 
567779,"65"" UNIVERSAL TRIPOD",Channellock Products,Channellock,$39.99 ,$29.99 ,$26.88 
569532,1000LM RCH HEADLAMP,Channellock Products,Channellock,$46.99 ,$29.99 ,$24.59 
530367,1000LM RCH FLASHLIGHT,Channellock Products,Channellock,$49.99 ,$29.99 ,$22.76 
539581,2000LM RCH FLASHLIGHT,Channellock Products,Channellock,$64.99 ,$39.99 ,$32.06 
