Promotion Name: March Digital and Ecommerce,,,"Original Order Start: November 17, 2025",,,,
"Start Date: March 1, 2026",,,"Original Order Deadline: December 19, 2025",,,,
"End Date: March 31, 2026",,,"Reorder Start: February 20, 2026",,,,
Sale Code: GL,,,"Reorder Deadline: April 9, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GL,,,,,,,
SKU,Description,Brand,Vendor Name,Regular Retail,Promo Retail,Promo Member Cost,Instant Rebate Amount
736993,11OZ GOLD ROACH SPRAY,Bengal,BENGAL PRODUCTS INC,$15.49,$13.99,$9.45,
739333,3# PACNW GRASS SEED,Jonathan Green,JONATHAN GREEN,$21.99,$17.99,$12.23,
739696,4M TB FUNGCD&LAWN FOOD,Scotts,SCOTTS COMPANY,$36.99,$33.99,$30.81,
742622,8M TB FUNGCD&LAWN FOOD,Scotts,SCOTTS COMPANY,$64.99,$61.99,$54.87,
743344,MED TEXTRD COATED GLOVE,Channellock,Channellock Products,$9.99,$6.00,$3.84,
743990,2-IN-1 TUBE BIRD FEEDER,Perky-Pet,WOODSTREAM CORP,$10.99,$9.99,$6.34,
744449,1G RTU DLACWD&GRS KILLER,Roundup,SCOTTS COMPANY,$29.99,—,$26.43,
745220,"1/4"" CURV GUTTER CLEANER",Forney,FORNEY INDUSTRIES,$15.99,$11.97,$9.65,
745778,8OZ CONC HUMBIRD NECTAR,Perky-Pet,WOODSTREAM CORP,$3.79,$1.50,$1.27,
745849,WINDOW HUMMER FEEDER,Perky-Pet,WOODSTREAM CORP,$15.99,$12.79,$11.13,
747325,600LB DUMP CART,,Tricam Industries,$159.99,$129.97,$106.98,
747605,LADY FLORAL JERSEY BLEND,Best Garden,Do it Best GS,$4.99,$3.00,$2.19,
748573,4M TB HEALTHY+ LAWN FOOD,Scotts,SCOTTS COMPANY,$36.99,$34.99,$31.89,
749041,1GAL RTU WD&GRSS KILLER,Roundup,SCOTTS COMPANY,$24.99,$22.99,$18.46,
749043,1.33G RTU WD&GRSS KILLER,Roundup,SCOTTS COMPANY,$32.99,$30.99,$28.02,
749146,"25""X37"" 2SHELF UTLTY CRT",Channellock,Channellock Products,$199.99,$129.99,$108.46,
751303,1.25G RTU WD&GRSS KILLER,Roundup,SCOTTS COMPANY,$26.99,$24.99,$20.97,
754706,LRG TEXTRD COATED GLOVE,Channellock,Channellock Products,$9.99,$6.00,$3.84,
755848,5LB PP STR/GRO CRUMBLE,ADM,ADM Animal Nutrition,$8.99,$6.74,$5.41,
755869,LONG HDL RD PT SHOVEL,Do it Best,DO IT BEST GS,$29.99,$19.97,$13.70,
755882,LONG HDL SQ PT SHOVEL,Do it Best,DO IT BEST GS,$27.99,$19.97,$13.84,
755907,"16.25"" WD HNDL GRDN RAKE",Do it Best,DO IT BEST GS,$26.99,$19.97,$13.29,
755908,"55"" WOOD GARDEN HOE",Do it Best,DO IT BEST GS,$26.99,$19.97,$13.10,
756872,40LB WILD BIRD SEED,Best Garden,RED RIVER COMMOD,$21.99,$16.99,$13.25,
760632,4M TB HLTHY LAWN FOOD,Scotts,SCOTTS COMPANY,$36.99,$33.99,$30.75,
761268,8OZ MG LEAF PROTCT SHINE,Miracle-Gro,SCOTTS COMPANY,$8.99,$6.99,$5.94,
761282,8M TB HEALTHY+ LAWN FOOD,Scotts,SCOTTS COMPANY,$67.99,—,$58.27,
761612,XL TEXTRD COATED GLOVE,Channellock,Channellock Products,$9.99,$6.00,$3.84,
764363,12# FRESH FLAKE BEDDING,Manna Pro,Manna Pro Products,$19.99,$15.99,$13.94,
764586,8M TB HLTHY LAWN FOOD,Scotts,SCOTTS COMPANY,$64.99,$61.99,$55.96,
