Promotion Name: May Digital and Ecommerce,,,"Original Order Start: January 30, 2026",,,,
"Start Date: May 1, 2026",,,"Original Order Deadline: February 20, 2026",,,,
"End Date: May 31, 2026",,,"Reorder Start: April 24, 2026",,,,
Sale Code: GZ,,,"Reorder Deadline: June 11, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GZ,,,,,,,
SKU,Description,Vendor Name,Brand,Regular Retail,Promo Retail,Promo Member Cost,Instant Rebate Amount
646486,4PC VARIETY DRILLBRUSH,Drillbrush,Drillbrush,$24.99,$19.99,$12.317,
731887,5/8X50' FLEX HVYDTY HOSE,Lawn and Garden LLC,Gilmour,$47.99,$29.97,$25.433,
720342,"31.5"" BYPASS LOPPER",FISKARS,Fiskars,$54.99,$39.97,$35.766,
733225,CREAM VENTURE SUN HAT,Farmers Defense,Farmers Defense,$39.99,$29.99,$17.946,
747544,OLIVE VENTURE SUN HAT,Farmers Defense,Farmers Defense,$39.99,$29.99,$17.946,
767295,BLOSSOM VENTURE SUN HAT,Farmers Defense,Farmers Defense,$39.99,$29.99,$17.946,
769359,MAPGRN VENTURE SUN HAT,Farmers Defense,Farmers Defense,$39.99,$29.99,$17.946,
524356,8' 16/3 OUTDOOR CORD,DO IT BEST GS,Do it Best,$13.99,$4.99,$3.711,
524338,25' 16/3 ORANGE EXT CORD,DO IT BEST GS,Do it Best,$16.49,$9.99,$8.444,
513867,50' 16/3 ORANGE EXT CORD,DO IT BEST GS,Do it Best,$23.99,$14.99,$14.221,
305367,2PC LOCKING PLIERS SET,DO IT BEST GS,Do it Best,$24.99,$16.99,$14.683,
764030,12PK XL JERSEY WRK GLOVE,Do it Best GS,Do it,$16.99,$11.99,$9.864,
739965,12PK M JERSEY WORK GLOVE,Do it Best GS,Do it,$16.99,$11.99,$9.864,
705678,12PK LRG BRN JERSY GLOVE,Do it Best GS,Do it Best,$17.99,$11.99,$9.388,
879706,4PC AZRE GRY/BL CHAT SET,Do it Best GS,Outdoor Expressions,$464.99,$399.99,$281.263,
794816,GRY CONCRETE SL SEALANT,DAP INC,DAP,$12.99,$8.99,$6.815,
261193,12OZ MAX FILL FOAM SLNT,Dap Products Inc,DAP,$8.79,$5.99,$4.700,
123198,12OZ SD WNDW&DR SEALANT,DuPont,GREAT STUFF,$11.49,$8.99,$7.316,
278112,12OZ OSI TQ TOOL CLEANER,HENKEL CORPORATION,OSI,$16.49,$11.99,$10.099,
261057,16OZ QUAD DUAL SEALANT,HENKEL CORPORATION,OSI,$18.49,$12.99,$10.724,
139261,12OZ BIG GAP FOAMSEALANT,HENKEL CORPORATION,LOCTITE,$9.79,$8.49,$7.626,
139653,12OZ W&D FOAM SEALANT,HENKEL CORPORATION,LOCTITE,$9.79,$8.49,$7.626,
104413,FIRE BLOCK FOAM SEALANT,HENKEL CORPORATION,OSI,$18.49,$13.49,$11.144,
261099,10OZ CRACK FLEX SEALANT,SIKA CORPORATION,Sika,$10.99,$7.99,$6.387,
268976,12OZ EXPAND FOAM SEALANT,Soudal,Do it Best,$4.99,$3.49,$3.091,
805076,500L ZOOM LED FLASHLIGHT,NEBO ACG Brands,Nebo,$16.49,$14.99,$11.380,
511626,12/3 SJTW RDWHTBL25 CORD,Woods Wire Southwire,Southwire,$36.99,$29.99,$25.924,
513386,12/3 SJTW RDWHTBL50 CORD,Woods Wire Southwire,Southwire,$52.99,$47.99,$42.033,
513617,12/3 SJTW RDWHBL100 CORD,Woods Wire Southwire,Southwire,$109.99,$89.99,$78.909,
704300,1 CU FT GARDEN SOIL,SUN GRO HORTICULTURE,Black Gold,$11.99,$8.99,$6.705,
764537,1CF BG GARDEN COMPOST,SUN GRO HORTICULTURE,Black Gold,$13.99,$8.99,$6.992,
713769,1.5CF RAISED BED MIX,SUN GRO HORTICULTURE,Black Gold,$16.99,$13.99,$11.146,
711660,25# MRGLN&GRD FERTILIZER,ENCAP LLC,Earth Science,$25.99,$22.99,$17.611,
723381,17OZ YARD & PATIO FOGGER,BENGAL PRODUCTS INC,Bengal,$11.99,$8.99,$6.601,
704734,16OZ FLYING INSCT KILLER,BENGAL PRODUCTS INC,Bengal,$7.49,$5.99,$4.205,
736653,17.5OZ ANT & ROACH KILLR,Spectrum Brands HG,Hot Shot,$5.49,$3.99,$3.633,
745162,17.5OZ LIN ANT/RCHKILLER,Spectrum Brands HG,Hot Shot,$5.49,$3.99,$3.633,
768866,2PK FLYING INSECT TRAP,Spectrum Brands HG,Hot Shot,$7.99,$5.99,$4.826,
750481,4M TB WEED&FEED,SCOTTS COMPANY,Scotts,$32.99,$32.99,$31.608,$10.00
728302,12M TB WEED&FEED,SCOTTS COMPANY,Scotts,$84.99,$84.99,$80.737,$20.00
704906,1G RTU N LAWN ROUNDUP,SCOTTS COMPANY,Roundup,$27.99,$27.99,$26.297,$10.00
704940,1G RTU STH LAWNS ROUNDUP,SCOTTS COMPANY,Roundup,$29.99,$29.99,$26.693,$10.00
729350,1.1 GAL RTU WEED KILLER,SCOTTS COMPANY,Ortho,$25.99,$25.99,$20.300,$10.00
729714,1GAL RTU WND WEED KILLER,SCOTTS COMPANY,Ortho,$22.99,$22.99,$18.910,$10.00
734363,1GAL WC RTU WEED KILLER,SCOTTS COMPANY,Ortho,$26.99,$26.99,$21.860,$10.00
717124,5# ORTH GRDNWD PREVENTER,SCOTTS COMPANY,Ortho,$14.99,$14.99,$12.618,$5.00
715227,3# MG ORG GRAN PLNT FOOD,SCOTTS COMPANY,Miracle-Gro,$12.99,$12.99,$9.354,$5.00
756914,1GAL RTS MG GARDN FEEDER,SCOTTS COMPANY,Miracle-Gro,$16.99,$16.99,$15.013,$5.00
758662,3LB MG WTRSOL PLANT FOOD,SCOTTS COMPANY,Miracle-Gro,$11.99,$11.99,$10.819,$5.00
727829,MOSQUITO STARTER KIT,SCOTTS COMPANY,Ortho,$34.99,$34.99,$29.705,$10.00
765476,2PK HD MSQ KL&PRV REFILL,SCOTTS COMPANY,Ortho,$24.99,$24.99,$21.044,$5.00
769900,10# LN GRN INSCT KILLER,SCOTTS COMPANY,Ortho,$10.99,$10.99,$9.965,$5.00
